method,factor,label,time_bin,time,median,lower,upper,n
MEFISTO,factor_4,FIN/EST,1,165.0,0.2131182104349136,-0.2675741016864776,0.6422719585088498,97
MEFISTO,factor_4,FIN/EST,2,293.5,0.23835882446522735,-0.3348453044891357,0.6355135440826416,82
MEFISTO,factor_4,FIN/EST,3,386.0,0.2394737005233764,-0.270358422277945,0.5370662140018964,88
MEFISTO,factor_4,FIN/EST,4,482.0,0.120821826159954,-0.4287015795707702,0.6322200894355774,113
MEFISTO,factor_4,FIN/EST,5,576.5,0.14373721927404398,-0.2779904901981354,0.6304442435503006,116
MEFISTO,factor_4,FIN/EST,6,669.0,0.0952847227454185,-0.30210697650909424,0.4827812432520766,107
MEFISTO,factor_4,FIN/EST,7,712.0,0.1091403141617775,0.0041327076032757,0.2465189099311828,13
MEFISTO,factor_4,FIN/EST,8,854.0,-0.0176076367497444,-0.640242725610733,0.33094800303822125,71
MEFISTO,factor_4,FIN/EST,9,887.0,0.22995264002011234,-0.49561117150031014,0.6032731384038925,8
MEFISTO,factor_4,FIN/EST,10,1059.0,-0.4151668273509404,-1.147878438234329,-0.037126225924123374,8
MEFISTO,factor_4,FIN/EST,11,1098.5,0.046714225050737496,-0.5837158992309254,0.7523391097784042,62
MEFISTO,factor_4,RUS,0,102.0,0.0732125263099838,-0.1755531839372897,0.7796293904070724,6
MEFISTO,factor_4,RUS,1,185.0,0.2009250620446005,-0.28357503520870275,0.8411877751350403,75
MEFISTO,factor_4,RUS,2,264.0,-0.3529088795185089,-1.008433278409386,0.40152600407600403,115
MEFISTO,factor_4,RUS,3,365.0,-0.1965472996234893,-0.8027311563491821,0.4718509912490845,125
MEFISTO,factor_4,RUS,4,449.0,0.2054256349802017,-0.2607223093509674,0.826709867309882,101
MEFISTO,factor_4,RUS,5,549.0,0.6066337823867798,0.1379842907190323,1.2111347913742063,81
MEFISTO,factor_4,RUS,6,638.0,0.5350048294260452,0.2263465366469184,1.3469315580635948,56
MEFISTO,factor_4,RUS,7,725.0,0.5602819874435524,0.0761626437306404,1.2909818291664124,47
MEFISTO,factor_4,RUS,8,829.5,0.41258078813552856,-0.14339561760425562,0.7873861640691757,24
MEFISTO,factor_4,RUS,9,919.0,0.2651498168706894,0.06324050016701217,0.7839740216732025,12
MEFISTO,factor_4,RUS,10,1011.5,0.23311357200145721,-0.33719389885663986,0.6342757195234299,12
MEFISTO,factor_4,RUS,11,1101.0,0.4269471764564514,0.3361836150288582,0.5464321076869965,3
MEFISTO,factor_5,FIN/EST,0,62.5,0.5816468802481989,-0.3235954109596022,1.2694783806800842,142
MEFISTO,factor_5,FIN/EST,1,165.0,-0.0880767852067947,-1.2824654579162598,0.2698093713736914,97
MEFISTO,factor_5,FIN/EST,2,293.5,-0.5812707265075054,-1.056521862745285,-0.18393199298893825,82
MEFISTO,factor_5,FIN/EST,3,386.0,-0.8450963631344317,-1.2610179483890533,-0.23173206252342576,88
MEFISTO,factor_5,FIN/EST,4,482.0,-0.5239973664283752,-1.0368680953979492,-0.0973324924707412,113
MEFISTO,factor_5,FIN/EST,5,576.5,-0.26686805003272973,-0.7469783127307892,0.15432767597012795,116
MEFISTO,factor_5,FIN/EST,6,669.0,-0.3053356174855745,-0.8384572267532349,0.07943138480186454,107
MEFISTO,factor_5,FIN/EST,7,712.0,-0.7503635883331299,-1.02311620320969,-0.3986435265301783,13
MEFISTO,factor_5,FIN/EST,8,854.0,-0.2540903616311044,-0.5949023365974426,0.0921040807915499,71
MEFISTO,factor_5,FIN/EST,9,887.0,-0.19956229466942094,-0.6899076700210571,0.26579725262651144,8
MEFISTO,factor_5,FIN/EST,10,1059.0,0.0128850806504488,-0.3645945600379479,0.23055212251392734,8
MEFISTO,factor_5,FIN/EST,11,1098.5,-0.02601878002683435,-0.290675550699234,0.2507640896497511,62
MEFISTO,factor_5,RUS,0,102.0,-0.3129342204875065,-0.5278087932142771,0.07764095813035964,6
MEFISTO,factor_5,RUS,1,185.0,-0.4711624383926391,-0.8021582961082458,-0.045462808692621454,75
